Publication Year,Author,Title,Publication Title,DOI,Pages,Issue,Volume,Manual Tags
2016,"Chen, Si-Wen; Wang, Bao-Shan; Tian, Xiao-Feng; Wang, Fu-Yun; Liu, Bao-Feng; Li, Lu","Crustal Structure from Yunxian-Ningliang wide-angle reflection and refraction profile in Northestern Yunan, China",Seismology and Geology,10.3969/j.issn.0253-4967.2016.01.007,91.00 ,1 ,38,#SE Tibet; #DSS; #云县-宁蒗
2001,"Li, Song-Lin; Zhang, Xian-Kang; Ren, Qing-Fang; Zhang, Cheng-Ke; Shi, Jin-Hu; Zhao, Jin-Ren; Liu, Bao-Feng; Pan, Su-Zhen; Zhang, Jian-Shi; Liu, Jian-Jun",Seismic Surrounding Profile and its interpreation in the region of Xiji-Zhongwei,Seismology and Geology,,86.00 ,1 ,23,#DSS; #西吉-中卫
1998,"Zhang, Cheng-Ke; Zhang, Xian-Kang; Gai, Yu-Jie; Zhao, Jin-Ren; Nie, Wen-Ying; Ren, Qing-Fang",The crustal mantle velocity structure and deep tectonics in the Datong Yanggao seismic region and its adjcent area,Seismology and Geology,,391.00 ,4 ,20,#DSS; #繁峙-太仆寺
2014,"Cai, Hui-Teng; Jin; Wang, Shan-Xiong",The research progress of velocity structure of crust and upper mantle in fujian area,Progress in Geophysics,10.6038/pg20140401,1485-1490,4 ,29,Review article; #DSS; #福建
2004,"Zhao, Jin-Ren; Zhang, Xian-Kang; Zhang, Cheng-Ke; Zhang, Jian-Shi; Yang, Zhuo-Xin; Liu, Bao-Feng; Liu, Bao-Jin; Zhao, Cheng-Bin",Deep structural features of the Sanhe—Pinggu great earthquake area imaged by wide-angle and deep seismic reflection profiling,Chinese Journal of Geophysics,,646-653,4 ,47,#DSS; #石家庄-喀喇沁
2012,"Ren, Jun; Peng, Jian-Bing; Wang, Fu-Yun; Liu, Chen; Feng, Xi-Jie; Dai, Wang-Qiang",The research of deep structural features of Weihe basin and adjacent areas,Chinese Journal of Geophysics,10.6038/j.issn.0001-5733.2012.09.013,2939-2947,9 ,55,#DSS; #丹凤-彬县
2007,"Yao, Bao-Hua; Zhang, Zhen-Quan; Wang, Jia-Lin; Huo, En-Jie; Zhang; Liu, Bao-Jin; Wu, Jian-Sheng; Wang, Fu-Yun; Yu, Peng; Mao, Ya-Ping",Prospecting and research on fine crustal structure by using multi-geophysics survey methods in Shanghai region,Chinese Journal of Geophysics,,482-491,2 ,50,#DSS; #Shanghai
2015,"Wang, ShuaiJun; Liu, BaoJin; Zhang, JianShi; Liu, BaoFeng; Duan, YuLing; Song, XiangHui; Deng, XiaoGuo; Ma, CeJun; Zang, YiRan",Study on the velocity structure of the crust in Southwest Yunnan of the north-south seismic belt—Results from the Menghai-Gengma-Lushui deep seismic sounding profile,Science China Earth Sciences,10.1007/s11430-015-5189-0,2175-2187,12 ,58,#DSS; #勐海-耿马-泸水
2000,"Li, Qiu-Sheng; Lu, De-Yuan; Gao, Rui; Li, Jing-Wei; Fan, Jing-Yi; Xiong, Xian-Ming; Zhang, Zhi-Ying; Liu, Wen; Li, Ying-Kang; Yan, Quan-Ren; Li, De-Xing",An explosive seismic sounding profile across the transition zone between west Kunlun Mts. and Tarim Basin,Science in China Series D-Earth Sciences (in Chinese),10.1360/zd2000-30-S1-16,16-21,S1,30,#DSS; #泉水沟-独山子
2005,"Zhang, Zhong-Jie; Bai, Zhi-Ming; Wang, Chun-Yong; Lü, Qing-Tian; Teng, Ji-Wen; Li, Ji-Liang; Sun, Shan-Xue; Wang, Xin-Zheng",Crustal structure of Gondwana- and Yangtze-typed blocks: An example by wide-angle seismic profile from Menglian to Malong in western Yunnan,Science in China Series D-Earth Sciences (in Chinese),10.1360/zd2005-35-5-387,387-392,5 ,35,#SE Tibet; #DSS; #孟连-马龙
